Protein IDs	Ratio	pValue
Q16851	0.69620178	0.474172
P07305	0.696437686	0.909036
Q99460	0.696505212	0.716073
P02749	0.697370404	0.055384
P49368	0.697805557	0.121056
Q0VDD8	0.701776245	0.890066
P02750	0.701967072	0.119376
O00487	0.701995331	0.181197
Q02094	0.702928082	0.28248
P24593	0.704614452	0.0261963
P02751	0.704924092	0.0664762
P22234	0.706724925	0.189429
Q9UNQ0	0.708438153	0.60322
Q6X784	0.708602697	0.785024
Q8WZ42	0.709734106	0.279801
P21980	0.710326118	0.635465
P08519	0.711730021	0.536599
P00747	0.714517831	0.0119167
P10321	0.714662095	0.189462
P00734	0.715254889	0.0784587
P02654	0.716149219	0.0126702
Q99832	0.716923473	0.142312
P82979	0.717544747	0.477706
P00751	0.717858902	0.316128
Q9UMS6	0.717923564	0.0303043
P05546	0.718281436	0.0691973
Q4KMQ2	0.719467858	0.572402
P02511	0.719756051	0.125611
Q14764	0.720640316	0.441018
P10412	0.721514061	0.42773
P05155	0.721785421	0.848892
P04180	0.722477958	0.0302995
Q9UGM5	0.722600318	0.234374
Q08722	0.72434562	0.157658
P13807	0.724895614	0.8147
Q9BSL1	0.725966661	0.160885
P04070	0.726608216	0.0378239
P11166	0.727349042	0.200666
P02649	0.728017414	0.0693132
P05452	0.728083441	0.146977
Q05707	0.728273934	0.215732
P22792	0.728342446	0.0675541
P11717	0.729025316	0.293605
P06681	0.729410843	0.371841
Q13619	0.729594218	0.334354
P24158	0.729665562	0.441319
P58335	0.730079014	0.401013
P11233	0.731268986	0.0878134
P19823	0.731947151	0.0443064
B0I1T2	0.733234019	0.126158
P27169	0.735416014	0.00975238
P10643	0.73573921	0.203567
Q96S96	0.735761385	0.957888
Q12907	0.73592269	0.116202
P0C0L4	0.738656929	0.3052
Q08380	0.739017012	0.355869
P35580	0.740009899	0.164897
Q9BT78	0.74087521	0.1934
P09668	0.743722208	0.419277
P12956	0.744388888	0.986502
Q9Y265	0.744912443	0.293352
Q15063	0.745022366	0.184388
P01860	0.745275089	0.873227
O14744	0.745968463	0.298169
A0A087WSY6	0.746012257	0.288561
P37840	0.746512382	0.116281
Q9H3S7	0.746657554	0.965026
Q14005	0.747174084	0.350709
P14780	0.748162454	0.676839
P08237	0.748601893	0.441502
Q13144	0.748803693	0.396053
P17936	0.749468621	0.0295758
P29622	0.749475343	0.134105
P28074	0.750110212	0.394753
O15335	0.751499758	0.208888
Q9Y315	0.752548633	0.259685
P06858	0.752927704	0.282116
O95373	0.752951527	0.107228
P62191	0.75351088	0.14401
P07357	0.754397201	0.232819
P03952	0.754513457	0.071987
Q13642	0.754532647	0.734422
P61163	0.755013442	0.687513
P17987	0.755357291	0.164451
Q13336	0.757803041	0.352948
Q9P0G3	0.759614541	0.364715
P19256	0.762232996	0.404069
Q13609	0.764280413	0.232471
P50990	0.764485928	0.130826
P05156	0.764561726	0.338648
P01111	0.765709389	0.657949
P07360	0.766622325	0.431284
Q13618	0.767743004	0.305142
Q9H251	0.770073019	0.073933
O95782	0.770386231	0.185402
P78371	0.77100054	0.137158
Q15149	0.77165522	0.954341
P08670	0.771763326	0.520888
O00231	0.772736012	0.339237
P14902	0.772812823	0.969343
Q13616	0.773231289	0.424559
P29972	0.773765938	0.314841
Q99436	0.774047093	0.918185
P49755	0.774641527	0.701489
Q8WW22	0.774859292	0.43937
Q08211	0.775720761	0.563274
Q16401	0.776821543	0.156929
P02766	0.777150562	0.0816772
Q00013	0.777478049	0.20797
P35542	0.778115393	0.0555805
P04275	0.778968915	0.504521
P01031	0.779308099	0.659047
O75396	0.779980513	0.688824
O60603	0.780649289	0.564053
Q14624	0.780987702	0.20577
P16401	0.781638752	0.450094
Q9NR50	0.782136677	0.136833
P04156	0.783038792	0.234095
Q9Y230	0.783686931	0.953796
P11678	0.784756446	0.953354
Q9UNM6	0.784778212	0.0841375
P00915	0.785452446	0.924133
P61018	0.785466955	0.420218
P20742	0.786044528	0.880934
Q5TDH0	0.787536342	0.875084
P28482	0.788987673	0.701376
P01042	0.78969619	0.175315
B2RUZ4	0.789849366	0.383252
Q9ULA0	0.790629454	0.340483
P26641	0.790825732	0.51016
P63010	0.790962928	0.253958
P29692	0.791053254	0.57559
P36222	0.791294079	0.906441
Q9BXR6	0.791324453	0.0885881
P04040	0.791661743	0.457302
Q9Y3I1	0.791777994	0.150324
P43251	0.79201199	0.267356
Q13200	0.794117647	0.315777
P28070	0.79546549	0.449093
P27105	0.795617851	0.449883
Q71RC9	0.796020902	0.655881
P31997	0.796255439	0.523841
P08754	0.797141376	0.234124
Q92734	0.79777239	0.964401
P32119	0.798900393	0.395449
P06576	0.799070362	0.359448
Q9Y4G8	0.799621106	0.188714
P49908	0.800922121	0.355239
Q99808	0.80103062	0.638249
P00739	0.801074851	0.350516
O14818	0.801778381	0.325895
P35998	0.802583017	0.430695
P43686	0.803250535	0.875153
P00748	0.804057529	0.702288
P07355	0.804381633	0.649982
Q8NHG7	0.804399315	0.675573
Q92945	0.804772468	0.710046
P67775	0.80526349	0.254865
P13647	0.805913277	0.664792
P80188	0.806713438	0.601217
Q13822	0.807212487	0.358428
P04003	0.807590727	0.325958
P14649	0.808169361	0.180476
P53396	0.808337242	0.429683
Q04756	0.80869535	0.410948
Q8NBZ7	0.809010481	0.351744
P60660	0.809709313	0.144313
P04908	0.810039695	0.860773
Q99715	0.810124347	0.605583
Q9BXJ4	0.810443661	0.701775
Q8IYT4	0.810513953	0.254981
P35579	0.812128618	0.23428
P20618	0.812840165	0.455881
Q13228	0.813734138	0.405265
O60814	0.813908937	0.534321
P02748	0.81494335	0.585637
Q9BU40	0.81551653	0.275842
Q9Y662	0.816506312	0.361127
P25705	0.816535724	0.575035
Q96AQ6	0.817691231	0.285626
Q96KN2	0.81808104	0.181527
P03951	0.818607425	0.423236
P28066	0.819978769	0.400634
P25789	0.820114591	0.430969
P23276	0.820230495	0.608274
P02765	0.821172654	0.120346
P40227	0.821834521	0.293024
P02042	0.822169077	0.784768
P35749	0.822390679	0.893358
P40926	0.822465111	0.595197
P98172	0.822966376	0.86879
P53680	0.823261533	0.78343
Q16563	0.823710418	0.599835
P62333	0.823773642	0.403931
Q9Y3C5	0.824561772	0.175535
P23467	0.824604173	0.403459
Q8N6Q3	0.824741139	0.983011
P18428	0.825293099	0.396719
