Protein IDs	Ratio	pValue
P00736	0.863072394	0.476279
P00738	1.292737445	0.824409
P00739	1.360479365	0.468021
P00740	1.016539654	0.919841
P00742	0.918106339	0.687071
P00746	0.610036603	0.129281
P00747	1.089560797	0.67709
P00748	0.817693732	0.570779
P00750	0.755260546	0.570404
P00751	1.395037173	0.362635
P00915	1.070964316	0.392772
P00918	1.169896814	0.368106
P00966	1.182085265	0.913898
P01008	1.377506571	0.272596
P01009	1.395897422	0.404317
P01011	1.525544495	0.435871
P01019	0.972951081	0.943496
P01023	1.127899151	0.946832
P01024	0.982087952	0.888263
P01031	0.644948968	0.343643
P01040	0.84601299	0.482275
P01042	0.919447512	0.641811
P01111	1.282672998	0.43399
P01116	1.387594765	0.0328889
P01137	0.972757758	0.924504
P01591	1.472362969	0.546068
P01599	1.002305162	0.904472
P01619	1.197057559	0.708228
P01624	1.152761622	0.932901
P01700	1.142111379	0.823537
P01706	3.08043967	0.970766
P01709	0.814937813	0.713557
P01732	0.648397198	0.15814
P01742	1.149781709	0.807098
P01780	1.184413069	0.540857
P01834	1.044650007	0.719427
P01857	1.101545545	0.838881
P01859	1.149955828	0.595874
P01860	0.733136232	0.42363
P01871	1.864324621	0.226552
P01876	0.99580902	0.887912
P01877	1.037740834	0.956781
P01880	0.973724714	0.754088
P01889	0.808090469	0.276825
P01903	0.815253632	0.164267
P01911	1.01256724	0.680411
P02042	1.220450116	0.555969
P02452	0.349714769	0.434389
P02511	0.790200703	0.222551
P02533	1.446463767	0.758539
P02538	1.191646963	0.561934
P02549	0.978623563	0.982061
P02647	0.884864443	0.467758
P02649	0.65375677	0.0451156
P02652	0.921499259	0.570652
P02654	0.917260596	0.542568
P02655	1.149513058	0.71369
P02656	0.916335146	0.545912
P02671	0.809313934	0.307009
P02675	0.729745281	0.228333
P02679	0.736959282	0.214301
P02724	0.934395022	0.918325
P02730	0.896134975	0.914015
P02743	1.433183775	0.259459
P02745	0.907171663	0.582737
P02746	0.904026511	0.462399
P02747	0.906075634	0.404174
P02748	0.621761084	0.0951886
P02749	1.044288774	0.966166
P02750	1.457318696	0.702081
P02751	0.359002646	0.0789212
P02760	0.682100923	0.210426
P02763	1.450856056	0.404685
P02765	1.081134439	0.837471
P02766	1.154277865	0.328815
P02768	1.412557008	0.324653
P02774	1.486110891	0.305353
P02775	0.691198178	0.237947
P02776	0.962264851	0.789362
P02778	1.202378925	0.852338
P02786	0.927125347	0.936482
P02787	1.434242337	0.276595
P02788	0.722122729	0.722474
P02790	1.319611105	0.401149
P03950	0.817233013	0.317598
P03951	0.935751476	0.826159
P03952	0.940350224	0.795122
P03956	0.833380522	0.395343
P04003	1.112877069	0.872958
P04004	0.87296173	0.451381
P04040	1.137082522	0.438843
P04070	1.152904161	0.572496
P04075	1.058264579	0.93833
P04083	0.984055819	0.918251
P04114	0.767209331	0.131276
P04156	0.63826465	0.0250909
P04180	0.76813933	0.316138
P04196	1.372953056	0.0482857
P04217	1.317259481	0.372416
P04264	1.035886417	0.718971
P04275	0.617244242	0.123008
P04278	0.389442674	0.0166061
P04406	1.313415361	0.0442286
P04430	3.22295378	0.158235
P04439	0.945543689	0.40594
P04632	0.952154777	0.776891
P04792	1.023737774	0.916226
P04899	1.197552414	0.609294
P04908	0.644482835	0.12108
P04921	0.954388279	0.742385
P05019	0.939099117	0.828562
P05023	1.099630878	0.780485
P05062	0.901868139	0.729459
P05067	0.69963648	0.410779
P05089	1.336188306	0.352654
P05090	0.795900352	0.193031
P05106	0.75006132	0.0949818
P05107	1.238367079	0.595994
P05109	1.080422848	0.586304
P05141	0.628973257	0.259193
P05154	0.699717437	0.158505
P05155	1.333268023	0.514228
P05156	1.166220908	0.747248
P05164	0.824624522	0.526849
P05198	1.233571361	0.320015
P05387	1.288403703	0.257644
P05388	1.307774521	0.193558
P05452	0.712736644	0.0906067
P05455	0.893112132	0.643976
P05546	0.897528025	0.51446
P05556	0.949338303	0.371593
P05771	1.389642129	0.179416
P06312	1.083610124	0.785333
P06331	1.047846803	0.705786
P06396	0.798983624	0.351948
P06576	0.66215688	0.307409
P06681	1.115076514	0.838264
P06702	1.08473756	0.644539
P06727	0.920012111	0.842609
P06730	1.053974544	0.868534
P06732	0.63444634	0.337937
P06733	1.344392269	0.211525
P06737	1.531822585	0.405928
P06744	1.026013875	0.970562
P06753	0.913552426	0.844737
P06858	0.809070725	0.398669
P06899	0.690113289	0.067767
P07093	0.874952338	0.799957
P07195	1.083740225	0.865486
P07203	1.036879202	0.751272
P07225	1.123790015	0.181017
P07237	1.098212485	0.946842
P07305	1.135005984	0.946031
P07327	1.392234689	0.958285
P07332	1.597835392	0.0507901
P07339	0.697862404	0.054474
P07355	0.833007368	0.258284
P07357	1.066427767	0.873965
P07358	0.841723154	0.308404
P07359	1.029867018	0.47831
P07360	1.096010902	0.968232
P07384	0.955632662	0.799186
P07737	1.088833951	0.992951
P07738	0.99441412	0.97032
P07741	1.263980969	0.272571
P07766	0.641347067	0.697001
P07814	0.739138251	0.255124
P07900	1.217607003	0.55479
P07910	0.835909378	0.362049
P07948	1.057174096	0.931021
P07996	0.943636474	0.840136
P07998	0.60967464	0.724384
P08133	0.791521078	0.562343
P08185	1.646616369	0.404888
P08237	0.818082374	0.250394
P08238	1.196510178	0.619298
P08240	1.428416835	0.0570989
P08254	0.820795681	0.777203
P08311	0.846767364	0.436308
P08493	0.624975415	0.00742857
P08514	0.720553115	0.0601443
P08519	0.829217591	0.859913
P08567	1.062450962	0.889948
P08571	0.778861475	0.0494268
P08575	1.13592534	0.820744
P08579	1.430459243	0.250185
P08603	0.878821014	0.514544
P08631	1.457255915	0.21453
P08637	1.397787987	0.337312
P08670	0.681855783	0.622003
P08697	0.82231868	0.298156
P08708	1.230211073	0.21491
P08754	0.953546768	0.801096
P08758	1.094202854	0.851061
P08779	2.010569562	0.598093
P08865	1.25346069	0.453728
P09012	1.367645423	0.106548
P09104	0.983681371	0.895008
P09110	1.117273459	0.651632
P09211	1.069518517	0.994647
P09234	1.677424518	0.0669412
P09382	0.954134743	0.674043
P09417	1.1173002	0.924427
P09429	1.202466761	0.595828
P09486	0.808256595	0.907777
P09493	0.764612751	0.41766
P09525	1.028811344	0.815926
P09529	0.513538305	0.148579
P09543	1.050142555	0.614289
P09651	1.254312615	0.0715536
P09661	1.246392403	0.623972
P09668	0.722244326	0.452968
P09769	1.098044674	0.712327
P09871	0.946114036	0.840023
P09874	0.757097093	0.450601
P09960	0.770680343	0.300321
P0C0L4	0.87357448	0.501379
P0C0L5	0.692185673	0.0315464
P0C0S5	0.737244448	0.789483
P0CG36	0.846860531	0.396606
P0CG47	1.185197409	0.436605
P0DJI8	1.653782317	0.495422
P0DJI9	1.437653108	0.839645
P0DMV8	1.438875154	0.22046
P0DOY2	1.191634794	0.647021
P0DP02	1.460541759	0.748362
P0DP23	0.982491083	0.6715
P10124	0.73525853	0.460185
P10155	1.577549491	0.0812358
P10321	0.706009223	0.564475
P10412	0.783489239	0.541607
P10599	1.142778264	0.867739
P10643	1.223621939	0.79716
P10644	0.88962237	0.527063
P10646	0.847060753	0.384688
P10768	1.032470865	0.781899
P10809	0.722766781	0.25826
P10909	0.909117417	0.633084
P11021	0.87340165	0.470328
P11142	1.089801422	0.505172
P11150	0.746236773	0.514002
P11166	1.049570638	0.816153
P11169	0.869453009	0.565365
P11171	0.96348653	0.904326
P11215	1.329506694	0.515366
P11216	0.736191048	0.814305
P11217	1.044772945	0.845714
P11233	0.781476556	0.500862
P11234	1.3528957	0.0944892
P11277	0.979173536	0.990349
P11413	1.543646976	0.0237209
P11586	1.364516885	0.202575
P11597	0.787533325	0.257948
P11678	0.895384319	0.787977
P11717	0.750902713	0.82987
P11766	1.462042504	0.362606
P11908	1.029393216	0.851185
P11940	1.108459373	0.287205
P12035	0.83693221	0.21906
P12109	0.875510139	0.638415
P12110	0.815980549	0.48317
P12111	0.817496422	0.498273
P12259	0.858290989	0.411744
P12429	1.015123335	0.869273
P12724	1.388990034	0.583367
P12814	0.680560961	0.414147
P12829	0.675189379	0.306547
P12830	0.880792154	0.702809
P12883	0.60311405	0.482895
P12931	0.786205491	0.117988
P12956	0.711868696	0.311522
P13224	0.864058707	0.340944
P13473	1.026921265	0.907795
