"group","eyes","mice","eyes_with_polyps","eyes_with_polyps_percent","polyp_count_mean","polyp_count_sd","vein_t0_mean_um","vein_t0_sd_um","choroid_t1_mean_um","choroid_t1_sd_um"
"0",28,18,0,0,0,0,885.785714285714,73.7937200694823,38.0178571428571,3.3040999863165
"1",23,15,11,47.8260869565217,5.95652173913043,7.51046700442163,1536.61739130435,119.139302164139,58.2,3.56191980921423
"2",14,14,1,7.14285714285714,1.07142857142857,4.00891862868636,1143.42857142857,164.927505886078,48.25,4.18012697635629
"3",27,15,0,0,0,0,1115.07037037037,186.842423972746,51.7518518518519,3.86058687949527
"4",13,13,0,0,0,0,1240.51538461538,183.038674629862,44.3307692307692,5.3765516543885
"5",15,15,0,0,0,0,918.593333333333,156.162403865183,39.2066666666667,3.33155190492931
