##Data analysis and visualization were performed with SeekSoul‑Tools (version 1.0.0) 
##https://seeksoul.online/cloudplatform)‑doc/zh/document/Software/3_SeekSoul_Tools/
##Raw sequencing reads have been deposited in the NCBI SRA under BioProject accession PRJNA1520949 (http://www.ncbi.nlm.nih.gov/bioproject/1520949)


p_val	avg_log2FC	pct.1	pct.2	cluster	gene
2.15E-118	0.857983851	0.976	0.736	16	Mt1
7.14E-117	1.014727592	0.949	0.689	16	Hmox1
2.40E-110	0.73119877	0.709	0.371	16	Tuba1c
1.35E-97	0.790140272	0.814	0.522	16	Gclm
1.53E-90	0.789140126	0.687	0.382	16	Kcnq1ot1
0	3.099239535	0.959	0.333	17	Gpc6
0	2.855719361	0.887	0.418	17	Spp1
0	2.414686554	0.823	0.229	17	Lsamp
0	2.355353256	0.614	0.135	17	Nrxn1
0	2.289985626	0.814	0.209	17	Lama2
0	2.275136799	0.989	0.667	17	Rgs5
0	2.242255102	0.631	0.143	17	Grm7
0	2.079922139	0.831	0.241	17	Rarres2
0	2.077285655	0.971	0.698	17	Prkg1
0	2.026720398	0.797	0.22	17	Aspn
0	2.019087698	0.821	0.276	17	Rbms3
0	2.011706	0.729	0.2	17	Edn3
0	1.958983474	0.878	0.354	17	Arhgap10
0	1.954552751	0.814	0.253	17	Ifitm1
0	1.931858591	0.858	0.282	17	Lhfp
0	1.927378352	0.757	0.185	17	Cacna1c
0	1.883714878	0.724	0.188	17	Cacna2d1
0	1.835019258	0.863	0.372	17	Zeb2
0	1.721973477	0.731	0.181	17	Pdgfrb
0	1.701785191	0.599	0.153	17	Il34
0	1.675058605	0.741	0.238	17	Sox5
0	1.619648963	0.72	0.217	17	Gucy1a1
8.48E-305	1.936280188	0.751	0.274	17	Myl9
3.18E-301	1.845814376	0.643	0.202	17	Dmd
6.70E-207	1.841185172	0.838	0.513	17	Pde4d
6.19E-185	1.616659036	0.825	0.444	17	Gm13889
2.25E-176	1.635152005	0.634	0.272	17	Rgs7bp
1.39E-173	2.421154165	0.617	0.266	17	Ccl11
3.15E-156	1.633206554	0.594	0.25	17	Ngf
3.07E-93	1.624977868	0.489	0.232	17	Il6
0	3.760492247	0.996	0.636	18	Bsg
0	3.067623215	0.903	0.1	18	Spock2
0	2.531472948	0.84	0.093	18	Pglyrp1
0	2.233112299	0.974	0.54	18	Pltp
0	2.134438537	0.829	0.149	18	Fn1
0	2.102839384	0.87	0.29	18	Tspan5
0	1.912275174	0.686	0.051	18	Atp10a
0	1.835239372	0.666	0.07	18	Ccdc141
0	1.71465006	0.778	0.204	18	Ptn
0	1.601035775	0.566	0.078	18	Slc16a1
0	1.578475177	0.596	0.08	18	Foxq1
0	1.320831383	0.39	0.015	18	Slco1c1
0	1.312136658	0.579	0.087	18	Paqr5
1.07E-285	1.434230105	0.659	0.172	18	Sgms2
1.22E-278	1.301938137	0.618	0.154	18	Slc39a10
1.33E-275	1.578097027	0.947	0.496	18	Slc2a1
2.45E-275	1.555301017	0.96	0.493	18	Sparcl1
6.45E-271	1.603243738	0.849	0.349	18	Plat
4.16E-256	1.383427649	0.705	0.209	18	Slco1a4
7.35E-251	1.897908702	0.821	0.36	18	Itm2a
1.62E-239	1.436532922	0.986	0.633	18	Ly6c1
6.81E-232	1.299258571	0.774	0.27	18	Nebl
8.60E-222	1.347225907	0.823	0.349	18	Abhd2
6.41E-216	1.488930745	0.829	0.377	18	Igf1r
2.65E-203	1.273241419	0.907	0.516	18	Abcb1a
3.98E-201	1.474915742	0.955	0.69	18	Adgrl4
4.36E-172	1.272566141	0.374	0.088	18	Atp1a2
1.93E-143	1.375521978	0.785	0.422	18	Ccn1
2.88E-129	1.678109594	0.436	0.143	18	Vtn
1.27E-77	1.525840387	0.667	0.406	18	Hspa1a
0	2.533312915	0.408	0.037	19	Penk
0	2.101944259	0.513	0.071	19	Rbp7
0	1.378928253	0.378	0.028	19	Robo2
0	1.280628104	0.334	0.016	19	Nr5a2
1.50E-285	1.021808314	0.428	0.063	19	Glp2r
5.43E-158	1.34915394	0.987	0.851	19	Plpp3
3.68E-154	1.210274353	0.684	0.249	19	Pcp4l1
1.39E-148	1.251620705	0.477	0.129	19	Gm12002
8.67E-145	1.266527082	0.63	0.212	19	Gas7
8.43E-143	1.735088276	0.875	0.538	19	Mef2c
2.66E-139	1.547906009	0.747	0.362	19	Itm2a
9.55E-139	1.129049853	0.607	0.209	19	Col13a1
4.32E-135	1.256633996	0.722	0.303	19	Pcdh17
9.66E-129	1.077572934	0.957	0.634	19	Ly6c1
6.51E-120	1.192752296	0.607	0.245	19	Smco4
2.85E-113	1.212148675	0.405	0.118	19	Xylt1
7.50E-112	1.206598754	0.988	0.931	19	Igfbp7
3.06E-104	1.159833018	0.915	0.63	19	Nrp1
4.26E-103	1.077683252	0.863	0.527	19	Magi1
2.85E-102	1.726334641	0.624	0.286	19	Chrm3
6.60E-101	1.090328216	0.684	0.336	19	Lifr
1.16E-99	1.044532369	0.781	0.458	19	Tinagl1
3.11E-88	1.035121552	0.943	0.791	19	Hspb1
9.45E-87	1.198159463	0.753	0.451	19	Pam
5.84E-84	1.016115233	0.88	0.65	19	Crim1
8.26E-82	1.02818375	0.789	0.497	19	Sparcl1
1.35E-74	0.99910312	0.841	0.549	19	Plcb1
7.56E-69	1.029874719	0.833	0.629	19	Tshz2
1.15E-62	1.033466164	0.834	0.615	19	Iigp1
9.23E-54	1.011967893	0.861	0.692	19	Id1
