##Data analysis and visualization were performed with SeekSoul‑Tools (version 1.0.0) 
##https://seeksoul.online/cloudplatform)‑doc/zh/document/Software/3_SeekSoul_Tools/
##Raw sequencing reads have been deposited in the NCBI SRA under BioProject accession PRJNA1520949 (http://www.ncbi.nlm.nih.gov/bioproject/1520949)


p_val	avg_log2FC	pct.1	pct.2	cluster	gene
0	5.639199639	0.885	0.17	4	Ccl21a
0	4.306008813	0.781	0.069	4	Nts
0	3.965746603	0.933	0.094	4	Fgl2
0	3.816736518	0.747	0.039	4	Lyve1
0	3.543071847	0.887	0.058	4	Mmrn1
0	3.287685204	0.864	0.03	4	Reln
0	2.981603712	0.832	0.076	4	Lcn2
0	2.400699413	0.826	0.085	4	Fxyd6
0	2.347630683	0.763	0.073	4	Pdpn
0	2.255770099	0.461	0.132	4	Gdf15
0	2.238003957	0.739	0.076	4	Prox1
0	2.146412633	0.64	0.021	4	Clca3a1
0	2.137083102	0.663	0.122	4	Dusp2
0	1.963073081	0.62	0.204	4	Tppp3
0	1.894003575	0.63	0.235	4	Nupr1
0	1.851011495	0.631	0.077	4	Abi3bp
0	1.776637041	0.62	0.052	4	Thy1
0	1.74233595	0.84	0.299	4	Timp2
0	1.706205351	0.436	0.125	4	Ccl7
0	1.701950637	0.995	0.966	4	Fth1
0	1.680790465	0.649	0.132	4	Ackr3
0	1.673608331	0.723	0.16	4	Lbp
0	1.671393487	0.957	0.714	4	Cd9
0	1.671121912	0.601	0.098	4	Maf
0	1.659594682	0.642	0.182	4	Glis3
0	1.653512885	0.555	0.055	4	Pard6g
0	1.630093671	0.86	0.361	4	Cp
0	1.615814418	0.624	0.191	4	Gas7
0	1.6089382	0.518	0.033	4	Sema3a
1.14E-293	1.661267746	0.594	0.32	4	Ccl2
0	2.990622008	0.835	0.245	5	Selp
0	2.160057297	0.73	0.206	5	Sele
0	1.718485072	0.651	0.213	5	Vcam1
0	1.60446389	0.368	0.039	5	F5
0	1.580814944	0.608	0.191	5	Slco2a1
0	1.573553564	0.538	0.193	5	Ptn
0	1.395501109	0.399	0.125	5	Cd74
0	1.394673913	0.686	0.259	5	Pcdh7
0	1.352619164	0.799	0.37	5	Lrg1
0	1.334762731	0.777	0.337	5	Vwf
0	1.284511887	0.846	0.481	5	Cfh
0	1.258300873	0.984	0.933	5	Tm4sf1
0	1.233397817	0.421	0.129	5	Kirrel3
0	1.222333338	0.962	0.778	5	Emp1
0	1.067026646	0.995	0.863	5	Mgp
0	0.959382396	0.645	0.349	5	Grrp1
0	0.956843438	0.942	0.771	5	Icam1
0	0.933157147	0.545	0.232	5	Mal
0	0.859065242	0.262	0.059	5	Serpina3g
0	0.854852442	0.284	0.037	5	Ptgis
4.77E-307	0.895207694	0.953	0.837	5	Ctla2a
7.38E-292	0.966403735	0.357	0.123	5	Ch25h
6.43E-288	1.818358951	0.346	0.12	5	Csf3
5.86E-248	1.312132369	0.703	0.443	5	Mctp1
1.94E-212	0.843140577	0.769	0.559	5	Rnd1
1.11E-196	0.920734982	0.651	0.421	5	St3gal4
3.46E-172	0.949421852	0.253	0.094	5	Pcdh9
2.22E-150	0.940728003	0.563	0.357	5	Tmem252
4.52E-126	0.942537197	0.647	0.46	5	Cxcl10
5.57E-104	0.917135572	0.297	0.152	5	Slc7a11
0	1.565239994	0.565	0.256	6	Ccl11
0	1.42067131	0.95	0.729	6	Mt1
0	1.290261599	0.788	0.406	6	Spp1
0	1.248100614	0.738	0.435	6	Gm13889
0	1.009654826	0.99	0.864	6	Mgp
6.35E-290	1.044558968	0.837	0.674	6	Cebpd
6.11E-285	0.780474111	0.941	0.939	6	Rpl37
3.06E-277	1.144462667	0.526	0.248	6	Ifitm1
4.95E-222	0.899417169	0.775	0.528	6	Mt2
1.77E-220	0.964360169	0.703	0.457	6	Cxcl10
4.00E-217	1.096260392	0.576	0.323	6	Ccl2
4.98E-209	0.801761096	0.806	0.761	6	Cox8a
8.01E-202	0.796653902	0.828	0.81	6	Gng5
2.48E-183	0.788053114	0.784	0.621	6	Phlda1
1.88E-177	0.93998679	0.458	0.241	6	Rarres2
2.58E-172	0.97505862	0.731	0.529	6	Cxcl1
7.92E-171	0.718912121	0.83	0.759	6	H2afz
4.78E-160	0.777983241	0.816	0.677	6	Isg15
1.96E-141	0.848572249	0.275	0.12	6	Mdk
6.43E-136	0.941964624	0.611	0.433	6	Igfbp5
1.61E-125	1.369507397	0.464	0.308	6	Dcn
1.79E-121	0.743538918	0.792	0.695	6	Pim1
3.64E-121	0.982022459	0.288	0.14	6	Gpc3
5.55E-109	0.777389862	0.362	0.202	6	Edn3
1.01E-82	0.73331401	0.264	0.137	6	Ccl7
1.11E-77	0.745764728	0.414	0.292	6	Fam162a
7.58E-75	0.840320832	0.41	0.285	6	Serpine2
6.19E-71	0.812748757	0.347	0.223	6	Ifit3
1.43E-68	0.838151453	0.361	0.23	6	Il6
1.42E-36	0.943443845	0.274	0.201	6	Gsn
0	1.258065287	0.702	0.352	7	Tmem252
0	1.15653648	0.821	0.487	7	Slc2a1
0	0.863973904	0.551	0.213	7	Lef1
1.07E-292	0.878260505	0.99	0.933	7	Actg1
1.03E-285	0.806312309	0.505	0.201	7	Slco1a4
2.45E-264	0.718418942	0.33	0.102	7	Spock2
3.07E-238	0.901066671	0.64	0.352	7	Grrp1
2.55E-235	1.031022368	0.524	0.243	7	Edn1
1.51E-231	0.771137151	0.916	0.682	7	Arl15
3.83E-230	0.767130484	0.768	0.509	7	Abcb1a
1.20E-206	0.773948536	0.931	0.782	7	Emp1
2.74E-197	0.743195859	0.848	0.657	7	Nav1
4.50E-192	0.638506567	0.788	0.534	7	Pltp
2.28E-183	0.710275132	0.953	0.819	7	Mast4
1.09E-174	0.703176692	0.861	0.651	7	Slc6a6
6.05E-166	0.836650725	0.296	0.112	7	Sema3c
2.03E-162	0.721583401	0.954	0.837	7	Hbegf
1.30E-161	0.637722905	0.807	0.609	7	Sbno2
1.02E-155	0.95378929	0.799	0.619	7	Nav2
6.31E-146	0.617652888	0.69	0.446	7	Mctp1
3.26E-143	0.628692367	0.633	0.406	7	Dnm3
4.95E-141	0.690032443	0.773	0.589	7	Etv6
1.37E-130	0.760403342	0.423	0.225	7	Gbp5
4.20E-125	0.651261963	0.722	0.54	7	Smchd1
1.23E-123	0.707143337	0.747	0.542	7	Cxcl12
1.40E-123	0.985668098	0.439	0.24	7	Mal
4.94E-118	0.795431429	0.625	0.443	7	Glul
3.81E-114	0.679627447	0.829	0.691	7	Errfi1
8.90E-113	0.61671913	0.616	0.425	7	Itga5
1.31E-93	0.645456242	0.6	0.426	7	St3gal4
0	2.451889045	0.668	0.107	8	Tnfaip6
0	2.177693072	0.958	0.349	8	Fabp4
0	1.880127709	0.661	0.121	8	Vtn
0	1.865769293	0.903	0.197	8	Cd36
0	1.773382186	0.991	0.657	8	Rgs5
0	1.655564781	0.97	0.563	8	S100a6
0	1.570225029	0.72	0.204	8	Tppp3
0	1.546226668	0.75	0.259	8	Myl9
0	1.544733036	0.803	0.245	8	Gpihbp1
0	1.506692257	0.926	0.478	8	Sparcl1
0	1.457348918	0.544	0.107	8	Higd1b
0	1.398521367	0.818	0.411	8	Prkcg
0	1.393087869	0.604	0.172	8	Ndufa4l2
0	1.383746788	0.691	0.252	8	Lgals1
0	1.377070541	0.653	0.121	8	Timp4
0	1.354982873	0.626	0.17	8	Abcc9
0	1.329761911	0.812	0.43	8	Ednrb
0	1.314719688	0.512	0.154	8	Tagln
0	1.26731439	0.934	0.623	8	Ly6c1
0	1.265179832	0.505	0.171	8	Acta2
0	1.203105828	0.783	0.343	8	Arhgap10
0	1.179955233	0.647	0.209	8	Aspn
0	1.155401903	0.534	0.131	8	Cd44
0	1.1373628	0.496	0.186	8	Cryab
0	1.109163698	0.406	0.085	8	Kcnj8
0	1.099542216	0.566	0.177	8	Cacna1c
0	1.097332465	0.391	0.06	8	Rbp7
0	1.089114832	0.574	0.141	8	Lpl
0	1.044076898	0.7	0.283	8	Tcf15
3.33E-119	1.059030663	0.542	0.326	8	Ccl2
0	1.574282105	0.691	0.243	9	Cx3cr1
0	1.392667226	0.507	0.147	9	Dnah12
0	1.175957019	0.462	0.116	9	Siae
0	1.15806066	0.502	0.147	9	Pde4c
0	1.119036544	0.385	0.122	9	Ttc23l
0	1.102195643	0.891	0.617	9	Nup210l
0	1.060422197	0.95	0.758	9	Plvap
0	1.04618223	0.346	0.057	9	Gm44127
0	1.001138079	0.908	0.713	9	Plpp1
0	0.982366274	0.368	0.105	9	Bean1
0	0.977898775	0.458	0.144	9	Trim69
0	0.962468435	0.342	0.073	9	Cadm4
0	0.879834095	0.315	0.069	9	Fer1l5
0	0.84520853	0.326	0.076	9	Itgam
0	0.832983298	0.26	0.042	9	Itgb6
0	0.801223561	0.253	0.047	9	Mast1
9.86E-293	0.890123866	0.42	0.148	9	Nup107
3.21E-290	1.060983554	0.524	0.225	9	Stat5b
2.85E-285	0.924703191	0.65	0.321	9	Six3
1.10E-261	0.903706888	0.77	0.503	9	Fgfr2
2.63E-250	0.948401985	0.632	0.345	9	Fam117b
5.23E-244	1.200871174	0.584	0.305	9	Gm12185
1.47E-214	0.825368721	0.597	0.319	9	Fam167b
4.75E-211	0.849780069	0.811	0.618	9	Kdr
2.92E-201	0.942076062	0.283	0.096	9	Majin
8.90E-198	0.907803547	0.485	0.238	9	Gm12216
1.25E-190	0.877001843	0.653	0.403	9	Emp2
3.45E-187	1.053613166	0.367	0.154	9	Eml6
9.29E-185	0.921346236	0.328	0.13	9	Smim4
6.14E-141	1.019087632	0.596	0.397	9	Nsd1
0	2.251603869	0.649	0.199	10	Slco1a4
0	2.118708086	0.508	0.178	10	Gm5127
0	1.745805571	0.588	0.18	10	Eln
0	1.728675088	0.823	0.499	10	Heg1
0	1.674252776	0.966	0.791	10	Ptprb
0	1.620095915	0.557	0.217	10	Lef1
0	1.567258788	0.706	0.349	10	Vwf
0	1.533694209	0.719	0.419	10	Sgms1
0	1.531276843	0.688	0.361	10	Klf12
0	1.375906849	0.791	0.511	10	Abcb1a
0	1.369372133	0.593	0.253	10	Clec14a
5.92E-306	1.468022696	0.769	0.492	10	Ldb2
7.23E-306	1.404568634	0.714	0.405	10	Dnm3
1.79E-287	1.3232881	0.85	0.654	10	Slc6a6
1.95E-285	1.316321332	0.792	0.575	10	Fli1
3.31E-281	1.349643435	0.498	0.199	10	Six3os1
2.43E-268	1.273339044	0.536	0.235	10	Sorbs2
6.51E-247	1.698259719	0.538	0.239	10	Mal
1.86E-240	1.591571261	0.842	0.687	10	Arl15
1.12E-238	1.434972094	0.565	0.279	10	Chrm3
6.49E-232	1.985807156	0.383	0.137	10	Kirrel3
1.15E-227	1.232609205	0.763	0.537	10	Prss23
4.81E-215	1.375823639	0.552	0.273	10	Pcdh7
1.25E-198	1.228613679	0.668	0.408	10	Mecom
6.88E-194	2.06219356	0.446	0.203	10	Ptn
5.11E-193	1.375234669	0.599	0.353	10	Hmcn1
3.84E-185	1.330564552	0.709	0.494	10	Cfh
5.50E-150	1.347589926	0.721	0.546	10	Cxcl12
8.60E-147	1.413976546	0.657	0.497	10	Slc2a1
3.98E-121	1.485978783	0.253	0.097	10	Pcdh9
0	3.222000502	0.83	0.261	11	Selp
0	2.396954378	0.809	0.446	11	Mctp1
0	2.335106315	0.515	0.121	11	Csf3
0	2.27407663	0.693	0.221	11	Sele
0	2.100932284	0.713	0.244	11	Nupr1
0	1.949586832	0.314	0.009	11	Ackr1
0	1.548773065	0.323	0.014	11	Kcnc2
0	1.445598662	0.628	0.225	11	Vcam1
0	1.36306512	0.919	0.571	11	S100a6
0	1.283351882	0.961	0.851	11	Vim
0	1.258966639	0.301	0.051	11	Tll1
0	1.188656013	0.794	0.405	11	Pdlim1
0	1.140110004	0.537	0.176	11	Casp4
2.04E-307	1.348703653	0.561	0.203	11	Slco2a1
8.34E-303	1.26329795	0.604	0.242	11	Rnf19b
2.96E-290	1.247287681	0.595	0.221	11	Cdh13
9.59E-278	1.29673391	0.671	0.336	11	Il6st
1.02E-269	1.111507706	0.412	0.124	11	Neurl3
2.85E-265	1.069268697	0.495	0.176	11	Socs2
3.16E-259	1.3771271	0.614	0.288	11	Ypel2
1.68E-253	1.112513982	0.352	0.095	11	Fmo2
6.69E-242	1.272165346	0.496	0.193	11	Il1r1
1.17E-241	1.168481836	0.622	0.272	11	Pcdh7
2.22E-234	1.174389613	0.445	0.151	11	Slc7a11
1.82E-208	1.059660265	0.918	0.822	11	Mast4
4.98E-199	1.258014991	0.556	0.272	11	Mustn1
9.27E-197	1.232396302	0.284	0.078	11	Ptgs2
8.72E-182	1.399518611	0.633	0.359	11	Serpine1
2.24E-170	1.062464724	0.667	0.404	11	Ldlrad4
6.26E-158	1.03654282	0.789	0.6	11	Ext1
