p_value	morans_test_statistic	morans_I	gene_short_name	q_value
0.40642850325617064	0.23674192678130818	9.963529051317764e-4	Rnf225	0.6949546598477431
0.40827182757156594	0.23199273677207768	9.951142176285244e-4	Coq7	0.6968375639477661
0.41017450064310823	0.22709611967142446	9.938329019150904e-4	Tubgcp2	0.6986905381593571
0.4034185274118065	0.2445084546112509	9.930489483797806e-4	Ube2c	0.6943770383487357
0.40928777482562423	0.22937746493942812	9.909307361483605e-4	Zfp729a	0.6978124538228806
0.40602621880065215	0.23777908968693012	9.84518121247507e-4	Clec3b	0.6946650605666341
0.4098450569304296	0.22794356532686627	9.83130544593164e-4	Tll2	0.6982559172592482
0.45020231699954216	0.12515020987321718	9.829966069636584e-5	9130019P16Rik	0.7393712803904422
0.4092159367324275	0.22956234025610106	9.783681256991194e-4	Slc2a3	0.6978124538228806
0.4094899648803332	0.2288571709393648	9.753689492223916e-4	Zfp219	0.6979672533420043
0.41165651052629587	0.2232858735129059	9.675468447346525e-4	Zfp821	0.7002688707553002
0.41094120802550976	0.2251245075098941	9.673977838695741e-4	Xrcc1	0.6995994932077823
0.40984360671158854	0.22794729616370796	9.649770361871923e-4	Wdhd1	0.6982559172592482
0.4116598936982533	0.2232771791091557	9.598231515236513e-4	Plrg1	0.7002688707553002
0.4108292731308566	0.2254122968825221	9.543570105766588e-4	Esrra	0.6995994932077823
0.4486307795960583	0.12912143767416182	9.526107367385835e-5	Gm47271	0.738821864733407
0.4120732694106573	0.2222149728721486	9.513142974232402e-4	Rps6ka1	0.7007818008786868
0.4127037810235682	0.22059529862171262	9.440518974040521e-4	Rnf144b	0.7014732771407913
0.4509951885302386	0.12314740009043214	9.432640434061533e-5	Slc35e2	0.7393712803904422
0.3952141914315446	0.2657543757135467	9.426049939784059e-4	Fanca	0.6848751872719411
0.4115923395352207	0.2234507895529566	9.384959243413705e-4	Smyd4	0.7002688707553002
0.41334310376801686	0.21895358076450624	9.34450072348057e-4	Mrpl54	0.7022694075639538
0.41315399809514175	0.2194391238544518	9.315219116120825e-4	Scpep1	0.7020480656476569
0.4129233770164242	0.22003133091844582	9.280670598675244e-4	Dnajc4	0.7017830667068468
0.44977900735811727	0.12621970380901626	9.261350137418642e-5	Pcdhb16	0.7393712803904422
0.4133962727097983	0.21881707479421444	9.239724644159095e-4	Stimate	0.7022694075639538
0.4123519008274962	0.22149914577547325	9.203175254553464e-4	Gm2449	0.7010028658178902
0.41148860291390077	0.22371740001765353	9.199842148242146e-4	Slc15a4	0.7001675811507733
0.4117708433959718	0.22299205915301878	9.176863443074566e-4	D830036C21Rik	0.7003308490150273
0.40357151661446933	0.24411335030522813	9.17267432271197e-4	Trim71	0.6943770383487357
0.4513086617814726	0.12235569689869177	9.124131545183916e-5	Tmem258	0.7393712803904422
0.41304675495169807	0.2197145017031146	9.118331535501434e-4	Zbtb34	0.7019292878426063
0.4140129611915465	0.21723408563112437	9.100190563225809e-4	Coq5	0.7029357448755758
